Year DOY_disc DOY TA_C PAR_umol_m2_day
2021 349 1 7.05292663574221 199.81573634696
2021 350 2 10.3622222900391 139.287349775136
2021 351 3 7.50458679199221 191.575494253278
2021 352 4 6.13399658203127 197.922402999639
2021 353 5 5.23888931274416 197.116734039068
2021 354 6 5.88825378417971 191.700824475765
2021 355 7 6.40835342407229 186.942879963398
2021 356 8 7.81876907348635 104.518102602005
2021 357 9 11.8016410827637 67.2870822092295
2021 358 10 11.7630210876465 120.022820323348
2021 359 11 10.4672828674317 127.779662981153
2021 360 12 7.9560371398926 152.200486494422
2021 361 13 8.1619583129883 142.818879661918
2021 362 14 6.72493515014651 157.079283795357
2021 363 15 7.3569046020508 126.683049396753
2021 364 16 7.26964340209963 162.723462727904
2021 365 17 6.59246215820315 194.525153100014
2022 1 18 5.64106903076174 221.358972528696
2022 2 19 4.1678291320801 255.418660144329
2022 3 20 7.8810745239258 193.876119228125
2022 4 21 11.3583618164063 82.7379937349558
2022 5 22 12.4179626464844 117.714956280112
2022 6 23 12.2987686157227 131.852683461905
2022 7 24 12.1002403259278 125.761214626551
2022 8 25 9.36180648803713 166.161721078634
2022 9 26 7.86974105834963 217.151056845188
2022 10 27 8.9732604980469 219.568935676098
2022 11 28 8.92853317260744 255.654657478333
2022 12 29 8.80225906372073 242.077987644672
2022 13 30 9.73436126708987 237.638509723663
2022 14 31 9.28692016601565 230.273536911011
2022 15 32 8.3305374145508 231.787500787735
2022 16 33 10.1378799438477 230.803422453403
2022 17 34 9.95737228393557 234.619497524738
2022 18 35 9.22115478515627 232.718137204647
2022 19 36 8.75186691284182 236.195793168545
2022 20 37 8.96172103881838 259.199106262684
2022 21 38 10.9082962036133 287.942113141537
2022 22 39 12.8765235900879 300.801873402596
2022 23 40 9.14284286499026 300.730632633209
2022 24 41 8.40014801025393 297.333125432968
2022 25 42 8.43272933959963 285.310490329742
2022 26 43 7.85658798217776 296.816585753441
2022 27 44 9.04732284545901 310.335377817154
2022 28 45 8.85081634521487 310.981044604301
2022 29 46 9.14223632812502 289.482790416717
2022 30 47 8.34065399169924 324.032279364586
2022 31 48 8.84393844604494 289.139922856331
2022 32 49 9.0667549133301 322.424812293053
2022 33 50 10.3724304199219 343.97648521328
2022 34 51 8.98499450683596 340.970831981659
2022 35 52 8.1933303833008 333.530150794029
2022 36 53 9.07949981689455 303.095081643105
2022 37 54 8.28864822387698 337.818224565506
2022 38 55 9.4470039367676 350.44644904995
2022 39 56 9.90192947387698 355.023966609001
2022 40 57 11.1052032470703 358.461553231239
2022 41 58 12.6393486022949 362.366675988197
2022 42 59 13.2804542541504 363.270603038788
2022 43 60 13.0714050292969 364.370448505402
2022 44 61 14.2317863464356 369.713845916748
2022 45 62 13.800138092041 364.731122982025
2022 46 63 10.8488021850586 382.863039381027
2022 47 64 12.0132270812989 394.386965248313
2022 48 65 13.397420501709 400.451717661109
2022 49 66 10.6351066589356 399.342959845204
2022 50 67 11.040242767334 402.891853574075
2022 51 68 11.4773574829102 350.16148165676
2022 52 69 9.83736953735354 322.883444201816
2022 53 70 9.60788497924807 417.198780599385
2022 54 71 6.09922943115237 410.635326388836
2022 55 72 5.82663879394534 437.521499877512
2022 56 73 6.76846084594729 441.805129952699
2022 57 74 7.75743255615237 438.184977723286
2022 58 75 11.5429206848145 392.556838708311
2022 59 76 11.6754737854004 443.617412913173
2022 60 77 13.760873413086 437.953407752275
2022 61 78 13.6086936950684 386.932923207253
2022 62 79 13.33974609375 342.213177100152
2022 63 80 13.0997367858887 303.478018167138
2022 64 81 9.23592910766604 384.002955890357
2022 65 82 8.29208908081057 451.280740374267
2022 66 83 10.5286575317383 490.447817419887
2022 67 84 12.2425094604492 490.381019937277
2022 68 85 12.8042808532715 486.25770310843
2022 69 86 13.1280685424805 502.08749722445
2022 70 87 11.592904663086 514.159104245424
2022 71 88 12.1044898986817 505.97037381053
2022 72 89 14.0680633544922 387.574139052868
2022 73 90 12.5347305297852 482.009703718781
2022 74 91 15.6400657653809 260.846647653043
2022 75 92 14.3586669921875 437.347845587969
2022 76 93 13.5831886291504 476.20320325315
