.93,.89,1.03,1.06,1.15,1.14,1.17,1.12,1.02,.99,.91,.91
 .92,.88,1.03,1.06,1.15,1.15,1.17,1.12,1.02,.99,.91,.91
.92,.88,1.03,1.07,1.16,1.15,1.18,1.13,1.02,.99,.90,.90
.91,.88,1.03,1.07,1.16,1.16,1.18,1.13,1.02,.8,.90,.0
.91,.87,1.03,1.07,1.17,1.16,1.19,1.13,1.03,.98,.90,.89
.90,.87,1.03,1.08,1.18,1.17,1.20,1.14,1.03,.98,.89,.88
.90,.87,1.03,1.08,1.18,1.18,1.20,1.14,1.03,.98,.89,.88
.89,.86,1.03,1.08,1.19,1.19,1.21,1.15,1.03,.98,.88,.87
.88,.86,1.03,1.09,1.19,1.20,1.22,1.15,1.03,.97,.88,.86
.88,.85,1.03,1.09,1.20,1.20,1.22,1.16,1.03,.97,.87,.86
.87,.85,1.03,1.09,1.21,1.21,1.23,1.16,1.03,.97,.86,.85
.87,.85,1.03,1.10,1.21,1.22,1.24,1.16,1.03,.97,.86,.84
.86,.84,1.03,1.10,1.22,1.23,1.25,1.17,1.03,.97,.85,.83
.85,.84,1.03,1.10,1.23,1.24,1.25,1.17,1.04,.96,.84,.83
.85,.84,1.03,1.11,1.23,1.24,1.26,1.18,1.04,.96,.84,.82
.84,.83,1.03,1.11,1.24,1.25,1.27,1.18,1.04,.96,.83,.81
.83,.83,1.03,1.11,1.25,1.26,1.27,1.19,1.04,.96,.82,.80
.82,.83,1.03,1.12,1.26,1.27,1.28,1.19,1.04,.95,.82,.79
.81,.82,1.02,1.12,1.26,1.28,1.29,1.20,1.04,.95,.81,.77
.81,.82,1.02,1.13,1.27,1.29,1.30,1.20,1.04,.95,.80,.76
.80,.81,1.02,1.13,1.28,1.29,1.31,1.21,1.04,.94,.79,.75
.79,.81,1.02,1.13,1.29,1.31,1.32,1.22,1.04,.94,.79,.74
.77,.80,1.02,1.14,1.30,1.32,1.32,1.22,1.04,.93,.78,.73
.76,.80,1.02,1.14,1.31,1.33,1.34,1.23,1.05,.93,.77,.72
.75,.79,1.02,1.14,1.32,1.34,1.35,1.24,1.05,.93,.76,.71
.74,.78,1.02,1.15,1.33,1.36,1.37,1.25,1.06,.92,.76,.70
